Metric,Value,Shock,Fees,Volatility,Shocked Price,Net PnL
VaR Long (250d),"45,349.61",,,,,
VaR Short (60d),"45,349.61",,,,,
VaR Intraday (1h),"28,137.45",,,,,
,,-0.2,1.0,1.0,69329.09199999999,-100600.00000000003
,,-0.2,1.0,1.5,69329.09199999999,-100700.00000000003
,,-0.2,1.0,2.0,69329.09199999999,-100800.00000000003
,,-0.2,1.5,1.0,69329.09199999999,-100800.00000000003
,,-0.2,1.5,1.5,69329.09199999999,-100900.00000000003
,,-0.2,1.5,2.0,69329.09199999999,-101000.00000000003
,,-0.2,2.0,1.0,69329.09199999999,-101000.00000000003
,,-0.2,2.0,1.5,69329.09199999999,-101100.00000000003
,,-0.2,2.0,2.0,69329.09199999999,-101200.00000000003
,,-0.1,1.0,1.0,77995.2285,-50674.99999999997
,,-0.1,1.0,1.5,77995.2285,-50787.49999999997
,,-0.1,1.0,2.0,77995.2285,-50899.99999999997
,,-0.1,1.5,1.0,77995.2285,-50899.99999999997
,,-0.1,1.5,1.5,77995.2285,-51012.49999999997
,,-0.1,1.5,2.0,77995.2285,-51124.99999999997
,,-0.1,2.0,1.0,77995.2285,-51124.99999999997
,,-0.1,2.0,1.5,77995.2285,-51237.49999999997
,,-0.1,2.0,2.0,77995.2285,-51349.99999999997
,,0.1,1.0,1.0,95327.5015,49175.00000000005
,,0.1,1.0,1.5,95327.5015,49037.50000000005
,,0.1,1.0,2.0,95327.5015,48900.00000000005
,,0.1,1.5,1.0,95327.5015,48900.00000000005
,,0.1,1.5,1.5,95327.5015,48762.50000000005
,,0.1,1.5,2.0,95327.5015,48625.00000000005
,,0.1,2.0,1.0,95327.5015,48625.00000000005
,,0.1,2.0,1.5,95327.5015,48487.50000000005
,,0.1,2.0,2.0,95327.5015,48350.00000000005
,,0.2,1.0,1.0,103993.63799999999,99100.00000000003
,,0.2,1.0,1.5,103993.63799999999,98950.00000000003
,,0.2,1.0,2.0,103993.63799999999,98800.00000000003
,,0.2,1.5,1.0,103993.63799999999,98800.00000000003
,,0.2,1.5,1.5,103993.63799999999,98650.00000000003
,,0.2,1.5,2.0,103993.63799999999,98500.00000000003
,,0.2,2.0,1.0,103993.63799999999,98500.00000000003
,,0.2,2.0,1.5,103993.63799999999,98350.00000000003
,,0.2,2.0,2.0,103993.63799999999,98200.00000000003
